职位名称,薪酬,城市地区,工作经验要求,学历要求,关键词,公司名称,规模类型,公司标签
高薪房产经济人+无经验可带教,5千-1万,无锡·惠山区,无需经验,,"绩效奖金
节日福利
专业培训
带薪年假
五险一金
新房
二手房
商铺",中企创（江苏）供应链管理有限公司,民营  |  1000-5000人,多元化业务集团公司
低碳项目业务线经理,4.5-6千,北京·丰台区,2年,本科,"项目经理
环保
项目管理
商务助理
商务专员
销售
绩效奖金
专业培训
通讯补贴
弹性工作
定期体检
员工旅游",中国电子节能技术协会低碳经济专业委员会,非营利组织  |  少于50人,环保
DSE经济教师（越秀校区）,8千-1.5万,广州·越秀区,1年,本科,"高中
经济教师",广州全人教育投资发展有限公司,合资  |  50-150人,教育/培训/院校
AP经济老师,2-2.8万,上海·黄浦区,2年,本科,"AP课程
国际课程
五险一金
交通补贴
年终奖金
弹性工作
股票期权
专业培训
节日福利
员工旅游
落户办理
带薪年假",上海爱唯教育培训有限公司,民营  |  少于50人,教育/培训/院校
经济老师,1.5-2万,深圳,1年,本科,"高中教育
五险一金
餐饮补贴
专业培训
出国机会",深圳市博伟教育发展有限公司,民营  ,电子技术/半导体/集成电路
经济学教师,8千-1.5万,北京·通州区,2年,本科,"五险一金
补充医疗保险
免费班车
员工旅游
餐饮补贴
专业培训
出国机会
绩效奖金
年终奖金
弹性工作",北京中加学校,事业单位  |  150-500人,教育/培训/院校
经济商务老师,1-2万·13薪,深圳·宝安区,1年,本科,"经济
商务
金融学
会计
管理会计
工商管理
经济金融
免费班车
餐饮补贴
年终奖金
定期体检
专业培训
五险一金",新哲教育发展（深圳）有限公司,民营  |  150-500人,教育/培训/院校
药物经济学分析师,20-30万/年,南京·鼓楼区,3-4年,硕士,"五险一金
补充医疗保险
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
员工跟投福利",江苏毅达股权投资基金管理有限公司,国企  |  150-500人,金融/投资/证券
高级项目经理/项目经理,1.2-2.4万·15薪,长沙,3-4年,本科,"计算机
互联网
五险一金
交通补贴
通讯补贴
餐饮补贴
年终奖金
双休
定期体检
专业培训",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
DSE经济教师（白云校区）,8千-1.5万,广州·白云区,1年,本科,"高中
经济教师",广州全人教育投资发展有限公司,合资  |  50-150人,教育/培训/院校
alevel经济学老师（苏州星海实验中学国际部）,1.5-2万,苏州·工业园区,3-4年,本科,,浙江外育科技有限公司,合资  |  50-150人,教育/培训/院校
双语经济教师,15-30万/年,苏州·高新区,1年,本科,"经济
双语
海外
留学
教师
五险一金
免费班车
交通补贴
专业培训
年终奖金",苏州科技城外国语学校,民营  |  150-500人,教育/培训/院校
经济学教师（国际高中双语）,1.5-2.5万,北京·昌平区,2年,本科,"经济学
教学
教学质量
a_level
ap
调动课堂气氛
口语
授课计划
全英文授课
课程讲义
免费班车
员工旅游
出国机会
绩效奖金
定期体检
免费食宿",北京力迈教育科技有限公司,民营  ,教育/培训/院校
新媒体推广/政府关系专员,10-15万/年,武汉·江岸区,3-4年,大专,"纸媒
公众微信号
多媒体
采访报道
业务开拓
弹性工作
专业培训
交通补贴",武汉现代经济研究中心,民营  |  少于50人,文字媒体/出版
DSE经济教师,8千-1.5万,广州·南沙区,1年,本科,"高中
经济教师",广州全人教育投资发展有限公司,合资  |  50-150人,教育/培训/院校
战略品牌主任,1.2-2.4万,长沙,5-7年,硕士,"运营管理
工商管理
企业管理
战略部署
咨询公司
品牌策略
标准化流程
调研报告
战略管理
媒体联络
双休
五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检
专业培训
生育补贴
舒适办公环境",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
0106经济评价及工程管理(J10201),15-30万/年,广州·天河区,无需经验,硕士,"五险一金
餐饮补贴
弹性工作
绩效奖金
补充医疗保险
专业培训
定期体检",中水珠江规划勘测设计有限公司,国企  |  500-1000人,电气/电力/水利
项目经理（数智经济认证业务）,1-1.5万,上海,3-4年,大专,"信息化
智能化
数字化
项目管理
销售管理
服务解决方案
专业培训
五险一金
餐饮补贴
节日福利",上海英格尔认证有限公司,民营  |  500-1000人,检测，认证
技术经济工程师(全职/兼职）,2.3-3万·13薪,上海·徐汇区,10年以上,大专,"五险一金
节日福利
员工旅游
交通补贴
餐饮补贴
年终奖金
绩效奖金
专业培训
定期体检",洛阳瑞昌环境工程有限公司,外资（欧美）  |  150-500人,石油/化工/矿产/地质
会计（海外）,1.5-2万,江苏省,2年,本科,"五险一金
补充医疗保险
定期体检
带薪年假
餐饮补贴
绩效奖金",中国江苏国际经济技术合作集团有限公司,国企  |  1000-5000人,多元化业务集团公司
高级研究员（项目经理级别）,1.2-2.2万,广州·天河区,3-4年,本科,"五险一金
员工旅游
餐饮补贴
专业培训
年终奖金
定期体检
外派补贴",广东亚太创新经济研究院,非营利组织  |  50-150人,专业服务(咨询、人力资源、财会)
技术经济,10-15万/年,武汉·武昌区,3-4年,硕士,"五险一金
补充医疗保险
通讯补贴
餐饮补贴
绩效奖金
年终奖金
定期体检",中交第二航务工程勘察设计院有限公司,国企  |  500-1000人,建筑/建材/工程
社科策划编辑,8千-1万,北京·朝阳区,1年,硕士,"人文
社科
编辑
策划编辑
五险一金
绩效奖金
年终奖金
定期体检
带薪年假",北京对外经济贸易大学出版社有限责任公司,国企  |  50-150人,文字媒体/出版
海外光伏项目经理（印度尼西亚）,2.5-3.5万,成都·武侯区,3-4年,大专,"出国机会
年终奖金",四川鹏捷国际经济技术合作有限公司,民营  |  50-150人,外包服务
换工作新经济房产销售/高奖金,8千-1.4万,深圳·罗湖区,无需经验,大专,"五险一金
绩效奖金
员工旅游
专业培训
餐饮补贴
生日福利
一对一带教
大学生团队
定期团建
客户沟通
房产经纪买卖
择业建议
商务谈判
专业讲解
区域销售
渠道销售",深圳市乐有家控股集团有限公司,民营  |  10000人以上,房地产
高中经济学教师（合肥）,1-1.5万,合肥·蜀山区,3-4年,硕士,经济学,安生教育,合资  |  500-1000人,教育/培训/院校
品牌专员,1-1.5万,上海·浦东新区,1年,本科,"品牌
品牌推广
策划
品牌策划
推广
品牌经理
五险一金
交通补贴
餐饮补贴
专业培训
绩效奖金
员工旅游
弹性工作
通讯补贴",上海麦哲经济发展有限公司,民营  |  50-150人,专业服务(咨询、人力资源、财会)
经济管理学院学科带头人,1-1.5万,上海·浦东新区,10年以上,本科,"教学管理
教学质量
专业建设
五险一金
员工旅游
年终奖金
绩效奖金
寒暑假",上海民远职业技术学院有限公司,民营  |  50-150人,教育/培训/院校
AP经济教师,1-2万,武汉·东湖新技术产业开发区,5-7年,本科,"包吃
绩效奖金
节日福利
高温补贴
五险一金",武汉佩尔科技发展集团有限公司,民营  |  500-1000人,教育/培训/院校
AP、A-level经济教师,1.5-2.5万,广州·南沙区,1年,硕士,经济教师,广州市青藤之桥教育信息咨询有限公司,民营  |  150-500人,教育/培训/院校
双语经济教师,8千-1.5万,苏州·工业园区,1年,硕士,"英语
经济
高中老师
教学
国际高中
双语
五险一金
专业培训
工作餐
寒暑假",苏州工业园区西交教育培训中心,事业单位  |  50-150人,教育/培训/院校
高中数学/物理/经济/化学/计算机培训老师,8千-1.5万,武汉·硚口区,1年,本科,"五险一金
绩效奖金
补充医疗保险
通讯补贴
专业培训
年终奖金",武汉英中高级中学,非营利组织  |  150-500人,教育/培训/院校
高中ALevel Economics Teacher经济老师,1.5-2万,上海·长宁区,3-4年,本科,"经济
老师
专业培训
包吃",上海耀华国际教育学校（上海长宁区耀华专修学校）,外资（欧美）  |  150-500人,教育/培训/院校
在线客服,4-6千,长沙·开福区,1年,大专,"包住宿
五险一金
绩效奖金
节日福利
客服
售后客服
线上客服",东莞市易顺经济信息咨询有限公司湖南分公司,民营  |  150-500人,专业服务(咨询、人力资源、财会)
材料销售,5-6千,武汉·武昌区,3-4年,大专,"五险一金
带薪年假
节日福利
年终奖金
补充医疗保险
定期体检
项目提成
建筑工程
材料销售
业务拓展
工程
有机材料
无机材料
cad",武汉永信经济发展有限公司,民营  |  50-150人,建筑/建材/工程
销售内勤,4-8千,南昌·新建区,无需经验,大专,,江西中智经济技术合作有限公司,合资  |  50-150人,外包服务
总经济师,1.5-2.5万,上海·浦东新区,5-7年,本科,"总经济师
成本合约
预算
通讯补贴
年终奖金
带薪年假
报销交通费
笔记本补贴
节日福利
高温补贴
弹性工作
生日福利
包住宿",上海力建装饰工程有限公司,民营  |  50-150人,建筑/建材/工程
经济编辑,8千-1万,北京·东城区,1年,本科,"员工食堂
五险一金
补充医疗保险
绩效奖金
年终奖金
定期体检",光明网传媒有限公司,国企  |  150-500人,互联网/电子商务
工程经济和概算工程师,1.5-2万,上海·普陀区,5-7年,本科,"概算师
工程经济
五险一金
员工旅游
餐饮补贴
专业培训
绩效奖金
年终奖金
弹性工作
定期体检",上海凯赢达化工设计工程咨询有限公司,合资  |  50-150人,石油/化工/矿产/地质
IBDP经济老师,1.2-2万,常熟,3-4年,硕士,"ib课程体系
教师资格证
双语
IBDP
英文流利
海外留学
五险一金
餐饮补贴
定期体检
免费住宿
专业培训",北京欧洛斯咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
本地生活BD-经济舒适酒店方向-北京,1.2-2.4万,北京,3-4年,本科,"下午茶
健身瑜伽
六险一金
团队氛围好
晋升空间大
带薪休假
扁平管理
用户过亿
餐补
薪资优厚",字节跳动,民营  |  10000人以上,互联网/电子商务
总经济师,50-60万/年,绍兴·柯桥区,10年以上,本科,,浙江绿筑集成科技有限公司,民营  |  1000-5000人,建筑/建材/工程
经济舒适酒店BD-集团KA客户-上海,1.2-2.4万,上海,3-4年,本科,"下午茶
健身瑜伽
六险一金
团队氛围好
晋升空间大
带薪休假
扁平管理
用户过亿
餐补
薪资优厚",字节跳动,民营  |  10000人以上,互联网/电子商务
本地生活BD-经济舒适酒店方向-上海,1.2-2.4万,上海,3-4年,本科,"下午茶
健身瑜伽
六险一金
团队氛围好
晋升空间大
带薪休假
扁平管理
用户过亿
餐补
薪资优厚",字节跳动,民营  |  10000人以上,互联网/电子商务
总经济师,60-120万/年,绍兴·柯桥区,10年以上,本科,"预决算
造价
成本
五险一金
免费班车
餐饮补贴
专业培训
年终奖金
定期体检
绩效奖金
节日礼物
生日蛋糕",浙江绿筑集成科技有限公司,民营  |  1000-5000人,建筑/建材/工程
总经济师,60-120万/年,绍兴·柯桥区,10年以上,本科,"预决算
造价
成本
五险一金
免费班车
餐饮补贴
专业培训
年终奖金
定期体检
绩效奖金
节日礼物
生日蛋糕",浙江绿筑集成科技有限公司,民营  |  1000-5000人,建筑/建材/工程
总经济师,50-60万/年,绍兴·柯桥区,10年以上,本科,,浙江绿筑集成科技有限公司,民营  |  1000-5000人,建筑/建材/工程
总经济师,50-60万/年,绍兴·柯桥区,10年以上,本科,,浙江绿筑集成科技有限公司,民营  |  1000-5000人,建筑/建材/工程
总经济师,50-60万/年,绍兴·柯桥区,10年以上,本科,,浙江绿筑集成科技有限公司,民营  |  1000-5000人,建筑/建材/工程
总经济师,50-60万/年,绍兴·柯桥区,10年以上,本科,,浙江绿筑集成科技有限公司,民营  |  1000-5000人,建筑/建材/工程
营运副总经理,1-1.5万,广州·海珠区,5-7年,本科,"副总
副总裁
副总经理
副经理
CEO
总监
人力资源
营运
运营
绩效奖金
五险一金",广州市世纪兆业经济发展有限公司,民营  |  500-1000人,多元化业务集团公司
秘书长助理,0.8-1万,北京·朝阳区,2年,硕士,"总经理助理
经理助理
秘书
行政助理
绩效奖金
专业培训
通讯补贴
员工旅游
五险一金
交通补贴",中国电子节能技术协会低碳经济专业委员会,非营利组织  |  少于50人,环保
大客户部经理,7千-1万,南昌·红谷滩新区,2年,本科,五险一金,江西中智经济技术合作有限公司,合资  |  50-150人,外包服务
总经济师,50-60万/年,绍兴·柯桥区,10年以上,本科,,浙江绿筑集成科技有限公司,民营  |  1000-5000人,建筑/建材/工程
洪山广场司法厅招经济总管,3-4千,武汉·洪山区,2年,高中,"绩效奖金
节日福利
专业培训
包吃
包住宿
五险一金",武汉华工后勤管理有限公司,民营  |  5000-10000人,餐饮业
双语经济学教师,1.3-1.5万,上海·虹口区,2年,本科,"五险一金
餐饮补贴
周末双休
绩效奖金
年终奖金
专业培训
寒暑假",上海雅力教育培训有限公司,民营  |  150-500人,教育/培训/院校
总经济师,60-120万/年,绍兴·柯桥区,10年以上,本科,"预决算
造价
成本
五险一金
免费班车
餐饮补贴
专业培训
年终奖金
定期体检
绩效奖金
节日礼物
生日蛋糕",浙江绿筑集成科技有限公司,民营  |  1000-5000人,建筑/建材/工程
总经济师,50-60万/年,绍兴·柯桥区,10年以上,本科,,浙江绿筑集成科技有限公司,民营  |  1000-5000人,建筑/建材/工程
江夏庙山招经济总管,3.5-4.5千,武汉·江夏区,3-4年,高中,"包吃
包住宿
五险一金
仓库管理员
经济总管",武汉华工后勤管理有限公司,民营  |  5000-10000人,餐饮业
财务管理,5-7千,武汉·硚口区,3-4年,大专,"会计凭证
会计核算
财务制度
税费申报
五险一金",湖北经济技术培训学院,民营  |  50-150人,教育/培训/院校
AP/IGCSE/ALEVEL/IB经济学老师,1.5-2万,上海·徐汇区,1年,本科,"AP
IB
ALEVEL
国际课程
留学
考试
教育
培训
五险一金
员工旅游
专业培训
年终奖金
弹性工作",上海凡得出国留学服务有限公司,民营  |  少于50人,教育/培训/院校
工程经济及预概算工程师,1-1.5万,西安·高新技术产业开发区,3-4年,本科,"工程造价
工程概预算
新能源工程
五险一金
绩效奖金
股票期权",百穰新能源科技（深圳）有限公司,民营  |  少于50人,新能源
低碳业务代表,5-8千,杭州·西湖区,2年,本科,"五险一金
绩效奖金
年终奖金
出国机会
通讯补贴
交通补贴
定期体检",中国电子节能技术协会低碳经济专业委员会,非营利组织  |  少于50人,环保
房产经济人/高提成,4-8千,杭州·余杭区,无需经验,,"五险一金
弹性工作
专业培训
看房
房源资源
房地产
房子成交",杭州公众房网信息科技有限公司,民营  |  150-500人,房地产
经济管理学院品牌推广与信息化办公室助理,5-6千,北京,2年,本科,"推广
宣传
photoshop
编辑
新闻
文化建设
宣传材料
公众号
五险一金
绩效奖金
定期体检",北京航空航天大学经济管理学院,事业单位  |  500-1000人,教育/培训/院校
Alevel 经济老师,5-8千,西安·长安区,无需经验,硕士,,西安科技大学高新学院,民营  |  500-1000人,教育/培训/院校
房产经济人/综合薪资8千,4-7千,杭州·余杭区,无需经验,,"五险一金
弹性工作
专业培训
看房
房地产
房源资源
房子成交",杭州公众房网信息科技有限公司,民营  |  150-500人,房地产
经济管理学院品牌推广与信息化办公室助理,5-6千,北京,2年,本科,"推广
宣传
photoshop
编辑
新闻
文化建设
宣传材料
公众号
五险一金
绩效奖金
定期体检",北京航空航天大学经济管理学院,事业单位  |  500-1000人,教育/培训/院校
经济管理学院品牌推广与信息化办公室助理,5-6千,北京,2年,本科,"推广
宣传
photoshop
编辑
新闻
文化建设
宣传材料
公众号
五险一金
绩效奖金
定期体检",北京航空航天大学经济管理学院,事业单位  |  500-1000人,教育/培训/院校
医药销售经理/代表,6千-1.2万,重庆,3-4年,大专,"医药代表
销售代表
销售经理
医药
销售
渠道销售
五险
绩效奖金
节日福利
专业培训
交通补贴
年终奖励",云南泰康医药经济发展有限公司,民营  |  50-150人,制药/生物工程
招生主管 - 高管教育办公室,1.5-2.5万,深圳·龙岗区,3-4年,本科,,深圳数据经济研究院（香港中文大学（深圳）数据经济研究院）,事业单位  |  少于50人,学术/科研
政务服务客户经理,8千-1.2万,南昌·红谷滩新区,3-4年,大专,五险一金,江西中智经济技术合作有限公司,合资  |  50-150人,外包服务
经济管理学院品牌推广与信息化办公室助理,5-6千,北京,2年,本科,"推广
宣传
photoshop
编辑
新闻
文化建设
宣传材料
公众号
五险一金
绩效奖金
定期体检",北京航空航天大学经济管理学院,事业单位  |  500-1000人,教育/培训/院校
招商租赁专员,1-1.8万,上海·闵行区,2年,大专,"免费班车
绩效奖金
交通补贴
招商",上海创谷汇投经济发展有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
行政助理 - 品牌,7千-1万,深圳·龙岗区,1年,本科,"新闻通稿
内容撰写
排版
微信公众号
五险一金
免费班车
定期体检
年终奖金",深圳数据经济研究院（香港中文大学（深圳）数据经济研究院）,事业单位  |  少于50人,学术/科研
高中双语物理/生物/经济/艺术教师,15-25万/年,宁波·鄞州区,3-4年,本科,"教师
老师
物理老师
高中
教育
五险一金
绩效奖金
带薪年假
餐饮补贴
定期体检",宁波华茂外国语学校,民营  |  500-1000人,教育/培训/院校
技术经济师,1-2万,榆林,3-4年,本科,"工程造价
化工
工艺流程
工程经济
工艺技术
煤化工
炼油
技术经济
技术经济评价
五险一金
餐饮补贴
通讯补贴
定期体检
高温补贴
节日福利
法定年假
周末双休",榆林高新能研院工程技术有限公司,民营  ,电子技术/半导体/集成电路
海外商务专员,1-2万,上海·浦东新区,1年,本科,"合同签署
洽谈
商务拓展
需求挖掘
引导客户需求
开拓维护
维护目标客户
商务合作
英语
商务",杭州链杉经济信息咨询有限公司,民营  |  少于50人,金融/投资/证券
采购询价(经济活动)审核专员,5.5-8千,广州·天河区,2年,大专,"五险一金
补充医疗保险
补充公积金
专业培训
绩效奖金
三餐免费",广州市华美英语实验学校,民营  |  500-1000人,教育/培训/院校
行业标准工程师,9千-1.2万,北京·朝阳区,2年,本科,"绩效奖金
专业培训
定期体检
员工旅游
五险一金
年终奖金
出国机会
高端人脉",中国电子节能技术协会低碳经济专业委员会,非营利组织  |  少于50人,环保
宣传策划经理,0.8-1万,广州·海珠区,5-7年,本科,"策划
策划经理
文案策划
活动策划
活动
绩效奖金
五险一金",广州市世纪兆业经济发展有限公司,民营  |  500-1000人,多元化业务集团公司
换工作新经济房产销售/高奖金,8千-1.2万,深圳·福田区,1年,大专,"五险一金
补充公积金
员工旅游",深圳市乐有家控股集团有限公司,民营  |  10000人以上,房地产
技术经济（概预算）（北京分公司）,18-23万/年,北京·丰台区,3-4年,大专,"五险一金
交通补贴
绩效奖金
年终奖金",武汉联动设计股份有限公司,民营  |  50-150人,电气/电力/水利
初、中、高级会计师，房产经济，或者建筑中工,6千-1.2万,广州·越秀区,无需经验,,"高级会计师
高级水利水电
年终奖金
员工旅游
专业培训
出国机会
定期体检
弹性工作
绩效奖金
交通补贴
周末双休
补充医疗保险",广东创企建设咨询有限公司,民营  |  少于50人,建筑/建材/工程
直招房产经济人,5-9千,苏州·姑苏区,无需经验,高中,"五险一金
员工旅游
专业培训
出国机会
弹性工作
定期体检
互联网
二手房
新房",苏州我爱我家房地产经纪有限公司,民营  |  1000-5000人,中介服务
初、中、高级会计师，房产经济，或者建筑中工,6千-1.2万,深圳,无需经验,,"高级会计师
高级水利水电
年终奖金
员工旅游
专业培训
出国机会
定期体检
弹性工作
绩效奖金
交通补贴
周末双休
补充医疗保险",广东创企建设咨询有限公司,民营  |  少于50人,建筑/建材/工程
初、中、高级会计师，房产经济,5千-1万,湛江·霞山区,无需经验,,"高级会计师
高级水利水电
年终奖金
员工旅游
专业培训
出国机会
定期体检
弹性工作
绩效奖金
交通补贴
周末双休
补充医疗保险",广东创企建设咨询有限公司,民营  |  少于50人,建筑/建材/工程
商务拓展,1-2万,上海·浦东新区,1年,本科,"合同签署
洽谈
英语
谈判
商务合作
商务
引导客户需求
商务拓展
开拓维护
需求挖掘",杭州链杉经济信息咨询有限公司,民营  |  少于50人,金融/投资/证券
经济护卫员（保安）,4-6千·13薪,马鞍山,无需经验,高中,"五险一金
交通补贴
绩效奖金
年终奖金
食宿安排
长白班",安徽日发纺织机械有限公司,民营  |  150-500人,机械/设备/重工
新营销新经济（买社保/底薪8K）,8千-1.1万,广州·天河区,1年,大专,"五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
互联网
金融
计算机
教育
房地产
物流
汽车
医疗",深圳市乐有家控股集团有限公司,民营  |  10000人以上,房地产
项目总经理,36-60万/年,孝感,10年以上,本科,"管理
战略目标
营销战略
业务规划
绩效奖金
节日福利
专业培训
五险
包吃
加班补贴",湖北总部经济投资有限公司,民营  |  50-150人,房地产
双语经济老师,8千-1.5万,成都·大邑县,3-4年,本科,"私立学校
寒暑假
五险一金
绩效奖金
定期体检
餐饮补贴
节假日福利
公寓
免费早午餐
专业培训
免费住宿",成都市大邑宏文外国语学校,民营  |  150-500人,教育/培训/院校
循环经济项目技术员,6-8千,荆门,2年,本科,,湖北金泉新材料有限公司,民营  |  150-500人,石油/化工/矿产/地质
对外合作主管,1.2-2.4万·15薪,长沙,无需经验,本科,"五险一金
交通补贴
通讯补贴
餐饮补贴
年终奖金
双休
专业培训",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
项目总经理,36-60万/年,孝感,10年以上,本科,"管理
战略目标
营销战略
业务规划
绩效奖金
节日福利
专业培训
五险
包吃
加班补贴",湖北总部经济投资有限公司,民营  |  50-150人,房地产
市场营销专任教师,5-8.5千,海口·美兰区,1年,硕士,"大学教师
市场营销老师
教授
科研
大学老师
周末双休
五险一金
免费班车
节日福利
餐饮补贴
定期体检
年终奖金
绩效奖金",海口经济学院,已上市  |  1000-5000人,教育/培训/院校
A-Level经济  AP 经济,3-4万,深圳·福田区,3-4年,本科,"A-Level经济
AP
经济
五险一金
年终奖金
绩效奖金",丁丁教育科技（深圳）有限公司,民营  |  50-150人,教育/培训/院校
食堂经济总管（可全国分配）,3.5-6千,武汉,1年,高中,"绩效奖金
包住宿
包吃
弹性工作
节日福利
年终奖金
仓库保管
保管员
成本核算
库管",武汉华工后勤管理有限公司,民营  |  5000-10000人,餐饮业
项目总经理,36-60万/年,孝感,10年以上,本科,"管理
战略目标
营销战略
业务规划
绩效奖金
节日福利
专业培训
五险
包吃
加班补贴",湖北总部经济投资有限公司,民营  |  50-150人,房地产
经济概算工程师,1-2万,南京,3-4年,本科,"造价
概预算
五险一金
餐饮补贴
通讯补贴
绩效奖金
专业培训
年终奖金
交通补贴",中国化学工程第十四建设有限公司,国企  |  1000-5000人,石油/化工/矿产/地质
技术经济造价工程师,8-15万/年,武汉·洪山区,2年,本科,"造价员
造价
预算
造价工程师
工程造价
预结算
安装
造价师
技术经济
技经
五险一金
交通补贴
餐饮补贴
年终奖金
弹性工作
专业培训
绩效奖金
股票期权
定期体检
补充医疗保险",武汉烽火富华电气有限责任公司,国企  |  50-150人,电气/电力/水利
A-Level双语经济教师-光华剑桥,1-1.5万,上海·浦东新区,本科,,"A-Level
***
国际学校
五险一金
免费班车
员工旅游
定期体检
年终奖金
补充医疗保险
餐饮补贴
周末双休
寒暑假
圣诞节假期",上海日月光华教育投资有限公司,民营  |  150-500人,教育/培训/院校
A-level经济老师（双休+五险）,1-1.5万,武汉·硚口区,无需经验,本科,"经济老师
商务老师
国际课程
A-level
教学
培训
授课
AP、IB
教学计划
教研
专业培训
绩效奖金
年终奖金
双休
五险",以赴（武汉）出国留学咨询有限公司,民营  |  150-500人,教育/培训/院校
AP/ALEVEL/IB经济学老师,1-1.5万,成都·锦江区,1年,本科,"老师
教师
经济
商业
国际课程
AP
ALEVEL
IB",英锐教育,民营  |  1000-5000人,教育/培训/院校
公路工程经济、公路工程概预算,4.5-6千,太原,10年以上,本科,,太原市市政工程设计研究院,国企  |  150-500人,学术/科研
双语高中经济教师-光华美高,1.5-2.5万,上海·浦东新区,3-4年,硕士,五险一金,上海日月光华教育投资有限公司,民营  |  150-500人,教育/培训/院校
培训项目经理-丰台办事处,6-8千,北京·丰台区,2年,本科,"项目经理
培训
培训主管
培训师
项目主管
绩效奖金
专业培训
通讯补贴
弹性工作
定期体检
员工旅游",中国电子节能技术协会低碳经济专业委员会,非营利组织  |  少于50人,环保
AP经济学老师,1.8-3万,上海·黄浦区,2年,本科,"英语口语优秀
全英文授课
经济学
国际课程
五险一金
交通补贴
年终奖金
弹性工作
股票期权
专业培训
节日福利
员工旅游
落户办理
带薪年假",上海瑞选信息科技有限公司,民营  |  少于50人,教育/培训/院校
经济老师,7千-1.3万,昆山,无需经验,本科,"经济老师
五险一金
年终奖金",昆山美华培训学校有限公司,合资  |  50-150人,教育/培训/院校
海外能源/光伏项目预算工程师（印度尼西亚）,2-3万,成都·武侯区,3-4年,大专,"出国机会
年终奖金",四川鹏捷国际经济技术合作有限公司,民营  |  50-150人,外包服务
萧山经济开发区国有企业销售经理,8千-1万,杭州·萧山区,2年,大专,"销售
区域销售经理
销售业务员
五险一金
年底双薪
包吃包住",杭州合力叉车销售有限公司,国企  |  50-150人,机械/设备/重工
DSE国际班语文/经济/中国文学/公社老师,7千-1.4万,广州·天河区,2年,本科,"教师
语文
老师
中国文学
经济
通识
公社
五险一金
周末双休
餐饮补贴
专业培训
员工旅游
定期体检",博雅教育控股有限公司 PATHWAY EDUCATION HOLDINGS LIMITED,外资（非欧美）  |  150-500人,教育/培训/院校
经济管理学院院长,8千-1万,上海·宝山区,10年以上,本科,,上海震旦职业学院,民营  |  5000-10000人,教育/培训/院校
文字写作,4-7.5千,无锡,无需经验,本科,"五险一金
绩效奖金
定期体检
餐饮补贴
专业培训
节日福利
出差补贴
年终奖金",无锡市经济学会,非营利组织  |  少于50人,非营利组织
销售-武汉经济开发区,6千-1.2万·14薪,武汉·武汉经济开发区,2年,大专,"五险一金
年终奖金
交通补贴
餐饮补贴
周末双休
绩效奖金",上海提浜克企业管理有限公司,合资  |  50-150人,专业服务(咨询、人力资源、财会)
案场经理,10-11万/年,武汉·黄陂区,3-4年,大专,"节日福利
年终奖金
生日福利
带薪年假
五险一金
绩效奖金
定期体检
专业培训
包吃
案场经理",湖北南德经济发展集团有限公司,民营  |  150-500人,房地产
档案数字化项目经理,4.5-5千,昆明·盘龙区,2年,本科,"项目管理
档案数字化
档案扫描
数据录入
档案整理
绩效奖金
五险
法定节假日
双休
专业培训
年终奖金",云南云筹经济信息咨询有限责任公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
低碳教育总监,0.8-1万,北京·朝阳区,2年,硕士,"环保
教育
项目经理
绩效奖金
专业培训
通讯补贴
弹性工作
定期体检
员工旅游",中国电子节能技术协会低碳经济专业委员会,非营利组织  |  少于50人,环保
工程经济岗位,1-2万,上海·静安区,3-4年,本科,"五险一金
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金
定期体检
专业培训",中铁上海设计院集团有限公司,国企  |  1000-5000人,建筑/建材/工程
AP/A-LEVEL经济学老师,15-20万/年,武汉·江汉区,3-4年,本科,"教师
数学
物理
化学老师
老师
ap
托福
雅思
员工旅游
年终奖金
绩效奖金
弹性工作
专业培训",武汉赛拓昂斯教育咨询有限公司,民营  |  50-150人,教育/培训/院校
工程经济设计师,15-20万/年,上海·宝山区,3-4年,本科,"五险一金
补充医疗保险
补充公积金
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",宝钢工程技术集团有限公司,国企  |  10000人以上,建筑/建材/工程
教育学编辑/教材编辑,6-8千,北京·朝阳区,2年,本科,"文案编辑
文案
教务
培训
策划
绩效奖金
专业培训
通讯补贴
员工旅游
五险一金
交通补贴",中国电子节能技术协会低碳经济专业委员会,非营利组织  |  少于50人,环保
人力资源经理,1.5-2万,广州·海珠区,8-9年,本科,"五险一金
绩效奖金
长短周休息",广州市世纪兆业经济发展有限公司,民营  |  500-1000人,多元化业务集团公司
会计,5-6千,海口,3-4年,本科,"会计
汽车
五险一金
员工旅游
绩效奖金
年终奖金
弹性工作
专业培训
餐饮补贴
生日假
购车福利
节假日津贴",壹诺之家（海南经济特区）汽车销售有限公司,民营  |  50-150人,汽车
