职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型
会计,佛山市南海区桂城欧派厨柜商场,6-8千,上海-松江区,本科,5-7年经验,财务,通信/电信/网络设备,岗位职责：1、按项目对公司的业务进行独立核算，制作相应的会计凭证及业务报表、成本核发等；2、负责单体公司工资核算、资产核算、税费计提等总账凭证制单。3、对业务部门提供的费用单据进行审核，制作相应的会计凭证；4、完成月末各项结账工作，编制会计报表和附注说明、纳税申报；5、负责成品仓库盘点及抽查工作，协助库管确保账账，账物相符，并出具盘点及抽查情况说明表6、根据合同对应收账款进行管理，对各科目发生额进行整理、审核，做到账实、账账相符，定期清理往来；7、统计分析公司每月的收入、成本、费用；8、协助做好财务分析工作，提供财务数据；9、配合完成外部审计工作及领导安排的其它事项。任职要求：1、年龄30-40岁，本科及以上学历，财务、审计、会计等相关专业；2、3年以上生产制造企业工作经验，拥有初级会计师及以上职称者优先；3、掌握财务管理知识和统计知识，精通会计核算流程，能够熟练使用各类会计科目；4、熟练使用excel等办公软件，具有较强的财务信息统计、分析能力；5、性格开朗，有良好的语言表达及较强的沟通能力，有较强的工作执行力，注重工作时效性，有良好的团队协作精神。,民营  |  少于50人
会计,江苏友恒新材料有限公司,6千-1万,上海-松江区,本科,3-4年经验,总账会计,通信/电信/网络设备,上海财务主办会计职责：1、负责审核出纳资金报表、单据审核，合理筹划资金管理。2、负责审核仓库商品出入库账管理工作。3、负责公司应收、应付、总账等工作4、对接会计师事务所5、做好财务档案的保管和归档，确保单据流的全面性6、对接江西商贸公司并编制各项财务报表7、协调公司同银行、税务、统计等政府部门关系，维护公司利益8、认真审查会计事项，正确反映和监督公司的经济活动。9、根据总部的财务制度和目标，确定上海财务操作流程及管理制度，定期向总部财务汇报工作。10、完成其他临时交办工作,民营  |  50-150人
会计,武汉九蓬德包装制品有限公司,8千-1.2万,广州,大专,2年经验,财务,仪器仪表/工业自动化,核心岗位工作：1、负责各供应商应付对账及平台应收款工作，根据账单情况跟进发票开具和回收；2、完成每月财务凭证生成及结账工作，金蝶系统财务应付推单工作；3、根据合同审核采购订单，做好公司各品牌应付费用核销登记和核销进度跟踪；4、负责每月财务管理利润报表及资金报表的基础数据整理；5、业务员季度绩效达成基础表编制和核算；6、完成上级安排的其他工作。任职要求：1、大专以上学历，财务会计相关专业，有会计从业资格证；2、具有2年以上财务会计的工作经验；3、具有较全面的财务专业知识，熟悉国内会计准则以及相关的财务法规和政策；4、数据处理能力和逻辑思维能力较强；5、有电商会计经验和熟悉金蝶系统运作经验优先。,已上市  |  150-500人
会计专员,菩荷实业集团有限公司,6-8千·14薪,广州,大专,5-7年经验,五险一金,物业管理/商业中心,必须要有3年以上建筑施工行业会计工作经验必须要有3年以上建筑施工行业会计工作经验必须要有3年以上建筑施工行业会计工作经验1、负责组织公司的会计核算和财务管理工作，及时、准确按公司的要求提供各类报表和分析；2、负责编制及组织实施财务预算报告、月/季/年度财务报告。3、负责贯彻实施公司统一的财务政策和会计制度；4、负责审核编制财务收支，对资金收付和费用报销办理审核手续；5、根据公司各项财务制度及财务管理规定，组织本部门员工进行日常会计核算，复核会计凭证，办理资金调拨；6、负责审核员工工资、资金、补贴等；7、根据公司相关制度和规定，配合公司相关职能部门的检查，如实提供全部相关会计和业务资料；岗位要求：1、坚持原则、廉洁奉公、恪守职业道德；2、大专以上相关专业学位，有初级及以上会计证，必须5年以上建筑行业会计工作经验；3、熟悉国家财税相关法律、法规和企业资源计划系统或财务会计信息系统；4、有较强组织协调能力，风险意识强，善于管理；5、熟悉增值税核算，较强的沟通能力，,民营  |  50-150人
会计,珠海铭泰置业有限公司,5.5-8千·13薪,南京-浦口区,大专,5-7年经验,五险一金,建筑/建材/工程,"岗位职责：1、	负责公司各模块账务处理，包括入账资料审核、凭证制作等；2、	负责税务局、统计等财务相关政府部门的协调、申报工作；3、	负责每月出具财务报告，包括财务报表、科目明细表等制作；4、	负责ERP系统（目前鼎捷E10）的准备及上线工作；5、	负责部门内外关系协调；6、	负责会计资料档案管理；7、	协助财务总监工作。岗位要求：1、	大专及以上，财务管理、会计相关专业毕业；2、	有5年以上制造业会计工作经验，有2年以上总账工作经验；3、	熟悉会计法律、法规，税务法律、法规；4、	熟练操作OFFICE办公软件。",外资（非欧美）  |  50-150人
总账会计,深圳市光羿科技有限公司,6-8千,德阳,大专,3-4年经验,五险一金,多元化业务集团公司,1.对组织的会计事项进行核算，包括记账、算账、报账等2.办理、核算往来账款，并进行及时的账务处理3.对组织的经营活动实施会计和财务监督，保证账务正确，识别和解决问题4.填制税务报表，处理各项纳税申报和税务评估工作5.制定和执行各项具体财会制度，包括编制总账、财务会计报表、预算体系、审计体系等6.参与拟订财务计划，分析、考核财务计,民营  |  50-150人
总账会计,万航旅业（上海）有限公司,4.5-7千·14薪,上海-金山区,大专,1年经验,会计,医疗设备/器械,工作内容：1.负责发票开具及有关凭证资料的整理及保管；2.负责记录各种明细账目，做好核对工作，定期向主管领导汇报财务情况；3.定期核对固定资产账目，作到账物符实；4.其他财务相关工作。任职要求：1.大专及以上学历。2.熟练使用计算机及相关办公软件、财务管理软件。3.有独立解决问题的能力，良好的沟通交流能力。4.有财务管理、会计、审计、建筑设计行业相关经验者优先。其他：应届毕业生也可。,国企  |  150-500人
总账会计,西安航天民芯科技有限公司,6-9千,梅州,大专,3-4年经验,会计,印刷/包装/造纸,任职要求1、45岁以下，财会类相关专业大专及以上学历，持有初级以上资格证书；性别不限。2、必须有房地产会计经验或商业体购物中心财务会计经验；3、熟悉房地产财务管理、财务核算、成本控制相关专业知识，懂会计法、税法知识和财务核算；4、较强的解决核算中出现的问题的能力，思路清晰，考虑问题细致，据有较强的沟通协调能力；5、人际关系良好，具备强烈的责任感和事业心；6、细致、严谨的工作作风，较强的亲和力和凝聚力；7、有良好的职业道德和职业操守；岗位职责：1、账务录入与审核、账套管理2、财务报表的编制与分析3、会计档案的保管4、协助其他部门做好财务风险控制工作。5、负责公司全盘账务处理，确保项目成本核算、归集、分摊和结转的合理、准确。6、熟悉房地产行业的各类税收政策，准确计算房地产的各类纳税，熟练操作纳税申报。,民营  |  150-500人
建筑内账会计,广东蒲阳基础工程有限公司,8-15万/年,南京-鼓楼区,大专,1年经验,带薪年假,金融/投资/证券,我们的主要业务是为南京地区企业客户提供一体化服务，包含但不限于财务顾问、税务筹划、项目申报、代理记账、注册登记、知识产权代理等相关商务服务。一、【岗位职责】1、了解并掌握高新技术企业的相关财务知识和技能；2、能独立完成中小企业的代理记账全部过程，熟悉各项税务申报和全盘账务处理业务；3、熟悉财务会计制度，具有一定凭证审核能力，能妥善处理账务中的疑难问题；4、对代理的客户能提出合理的财务规划建议；5、配合代理客户做好税务专项检查和临时稽查，协助客户进行相应的税务沟通。二、【任职要求】1、具备良好的财务知识，有代账公司做账及报税相关1年以上工作经验者优先；2、高度的责任心和客户服务意识，亲和力强，有耐心；3、有强烈的工作责任心，良好的沟通能力，有团体意识。4、大专及以上学历；三、【薪酬福利】1、五险一金、双休；工作时间：9:00-17:30，周末双休；,国企  |  150-500人
会计（廉江）,广东星海控股集团有限公司,10-15万/年,西安-西咸新区,大专,3-4年经验,会计,房地产,1、负责根据公司发展及时建立和修订财务管理制度体系、执行流程，并监督实施，保障财务工作的顺利进行，优化财务内部管理流程；2、负责监督公司财务运作情况，审核报销单据的合理性合法性、业务性收支、业务往来对帐、记账、凭证及会计账簿编制、打印、装订与归档；3、负责指导下属做好公司日常会计工作，确保记账凭证的完整性；4、负责依据税法规定，处理公司的各项税务事宜，监督每月的税务申报及年审工作；5、负责公司日常财务总账工作，编制内部月度报表；6、负责配合提供各部门需求的相关报表数据；7、负责定期组织学习财务知识、工商税务相关政策法规及办事流程；8、完成领导交办的其他工作。,民营  |  150-500人
会计,咸宁南玻玻璃有限公司,8千-1.3万·13薪,清远-清城区,本科,3-4年经验,代理记账,贸易/进出口,岗位职责：1、协助经理实施各项财务计划，建立完善各项财务制度；2、根据公司组织机构和财务核算体系需要，合理建账，组织实施日常财务核算工作；3、负责全盘会计核算工作，所有记账凭证处理完毕，协助经理出具财务报表并提交审核；4、根据公司费用报销制度严格审核日常费用支出，审批合格交予经理复核，并完成账务处理工作；5、负责采购付款审核及对账；6、定期进行总账及明细账对账，保证账账相符；7、为企业预算编制及管理提供数据数据，为外单位提供财务数据；8、核对各出纳现金日记账及银行存款日记账，并定期盘点库存现金；9、负责存货盘点，监督抽查，做到账账相符，账实相符；10、统计各部门费用报表，进行数据分析对比。任职要求：1、本科以上学历，财务，会计相关专业，具有初级会计资格证书2、3年以上工作经验，有传统制造业财务工作经验优先，熟悉相关法规制度3、具有扎实的财务知识功底，熟悉企业财务内控管理、成本核算4、熟练使用办公软件，精通金蝶、用友等财务软件5、具有较强的独立工作能力，沟通协调能力，财务原则性强，工作积极主动,民营  |  50-150人
会计(J12079),西卡（上海）管理有限公司,6-8千,上海-浦东新区,本科,3-4年经验,上海颐特诺房地产有限公司,石油/化工/矿产/地质,岗位职责：1、根据会计准则和相关会计制度，审核会计凭证，保证账务处理的一致性和规范性，完成月度账务处理；2、负责总账、明细账、辅助账检查对账、调账、结账工作；3、负责日常税收申报、缴纳等工作，保持与税务等职能部门的良好协调与沟通；4、编制和分析各种财务报表、财务数据，并报送相关部门；5、负责会计档案管理，定期出具财务报表；6、按公司的实际需求，优化相应的财务流程及工作内容；7、配合完成外部审计；8、完成上级交办的其它工作。任职要求：1、财经类专业本科以上学历；2、3年以上财务会计工作经验，能独立操作全盘账务处理，熟悉海外会计准则，有涉外会计工作经验优先；3、英语可作为工作语言；4、能够熟练使用EXCEL、WORD等相关办公软件，使用过SAP系统优先；5、具有较强的沟通协调能力、分析能力，很强的责任意识、保密意识和原则性；6、工作细致认真，积极主动，擅于思考，执行力佳，具有团队合作精神和独立解决问题的能力，可接受强度工作压力。,民营  |  150-500人
会计,广州天河埃安汽车销售服务有限公司,7-9千,广州-天河区,大专,1年经验,会计,原材料和加工,1.协助主办会计开展工作，协助处理帐务；2.编制记帐凭证，银行对帐，单据审核，开具与保管发票；3.根据要求做好应收、应付的核对包括付款安排和催收款工作；4.年末协助做好汇算清缴和审计；5.协助领导完成相关财务工作。职位要求：1.财务、会计、金融、经济等相关专业大专以上学历，2022或2023届毕业生也可；2.熟练使用财务软件、及Excel、Word等办公软件；3.良好的学习能力、独立工作能力；4.工作认真细致，责任感强，态度端正，良好的沟通能力和团队精神。,民营  |  50-150人
会计,广州精工技术有限公司,6-8千,深圳-宝安区,大专,1年经验,做五休二,计算机软件,工作职责：1.银行打印回单简单的外勤事务；2.协助准备审计资料及其他机构资料，复印凭证，装订凭证等；3.整理凭证附件资料；4.其他临时安排的事情职位要求：1.大学专科以上；会计或财务管理相关专业2.仔细认真，服从安排,合资  |  150-500人
会计助理,上海方加诚新能源科技有限公司,7-9千,上海-松江区,本科,2年经验,中级会计职称,航天/航空,,民营  |  50-150人
会计,上海凡德汽车销售服务有限公司,8千-1.2万,杭州-钱塘区,大专,5-7年经验,武汉博臣建设有限公司,房地产,岗位职责1、公司的账目操作及报税等工作；2、负责应收、应付往来帐目的核算、记帐等；3、对应收应付帐款的事前、事中、事后的监控；4、带领出纳对商品进销存进行监控；5、协助公司领导与税务、工商等部门进行有效沟通。任职资格1、财务、会计专业大专以上学历，持有会计上岗证（有中级职称以上优先）；2、有五年以上相关专业的从业经验；3、具有良好的学习能力、独立工作能力和财务分析能力；4、熟悉机械行业的业务和账务处理；,已上市  |  50-150人
财务/会计/总账会计,上海创腾国际物流有限公司,1-2万,深圳-龙华区,大专,3-4年经验,会计,汽车,1.负责公司全盘账务处理；2.编制各项财务报表，财务分析，股东报表分析等；3.负责购票，开具发票及各类票据；防伪税控抄报税工作；4.负责编制审核每月工资表、提成、付款申请单、费用报销单；5.独立地进行账务处理，完成各类税种的纳税申报缴款工作；6.出纳日常收支工作处理；7.负责跟进银行、税局以及工商部门的对接及维护工作，并熟悉国家最新税收政策；8.负责会计凭证、账簿和会计报表账等会计资料的整理、编号和归档保管；9.做好与财务相关的其他工作，及领导安排的其他工作。岗位要求：1.大专及以上学历，财务会计等相关专业，有会计从业资格证及以上者优先考虑；2.两年以上相关工作经验，有全盘账务处理经验；3.熟悉增值税一般纳税人账务处理、防伪税控、纳税申报、财务报表申报等；4.熟练办公软件，熟练使用金蝶K3系统；5.有良好的职业道德，工作细致，沟通能力、执行能力强；6.有一般纳税人企业工作经验者优先。上班时间：5.5天制周一至周五（上午9:00-12:00，下午13:00-18:00）周六（9:00-12:00，下午休息）公司福利：1）一个月试用期，转正后购买“五险一金”；按国家规定法定节假日放假，2）每月发放绩效奖(金额根据公司业绩波动)，年底双薪+丰厚年终奖(公司会从利润中拿出一定比例作为整个公司年终奖)，该职位的年收入大概为10-15万元。周边环境：工业园门口就是627公交终端站，紧邻龙华汽车站和福茂天虹(都在10分钟车程)，附近有“茜坑地铁站”和竹村地铁站(4号线)其他：公司主营纳米新材料产品，自主生产、研发和销售一体；目前已经在多个知名手机品牌产品上量产；公司团队年轻有冲劲，欢迎有梦想、志同道合的年轻人加入，能随公司共同成长，并参与分享公司在成长过程中的成果。,国企  |  10000人以上
出纳会计,郑州成林纺织有限公司,4-4.5千,海口-龙华区,大专,2年经验,财务报表,环保,工作内容：1、能独立处理公司全盘帐务、编制会计报表;2、做到账务核算准确，及时出具各种报表;3、负责公司往来账款的审核、确定;4、负责增值税发票购买、认证、开具、纳税申报、汇算清缴等税务工作以及银行、税务证照的办理、变更、年检工作、能独立处理有关税务方面各项问题;5、负责管理财务部门以及供应商每月报价、询价等工作。6、领导交办的其他事务以及税务有关的外勤工作。任职要求：1、会计专业大专以上学历；2、熟悉全盘账务处理，2年及以上餐饮行业税务会计工作经验，熟悉财税相关法律法规；3、熟练运用办公软件，及Excel数据分析等，熟练使用财务软件；4、良好的学习能力、独立工作能力；5、工作细致，责任感强，团队精神。,民营  |  50-150人
会计,广东丙辛新材料有限公司,5-7千,上海-闵行区,本科,5-7年经验,出口退税,会计/审计,1、负责日常账务处理，按时编制会计报表，以及定期汇总会计凭证；2、负责财务各项账目的审核核算，认真审核财务原始凭证，保证财务结算的准确性、及时性以及真实性；3、负责复核公司各项费用报销单据，保证单据的真实性以及准确性；4、做好财务系统文件、资料记录、档案装订等保管工作；5、按时完成公司领导交办的其他任务。岗位要求：1、***本科及以上学历，会计电算化及相关专业，具有会计相关证书以及5年以上制造企业财务会计的工作经验；2、熟悉进出口退税事宜，以及具有总账会计经验(优先)；3、熟悉税务政策；4、熟练使用SAP系统，对待工作仔细认真，有良好的职业道德，团队精神；5、善于处理流程性事务，良好的学习能力与独立工作的能力。,民营  |  少于50人
财务会计,汇源电气有限公司,1-1.2万,沈阳,03-07发布,无需经验,财务,电子技术/半导体/集成电路,,民营  |  150-500人
财务会计,湖南金紫宇新材料科技有限公司,6千-1.1万,广州-南沙区,本科,2年经验,五险一金,汽车零配件,"岗位职责:1、复核财务相关资料，会计凭证的编制与审核；2、配合完成各项财务审计及股东所需相关财务事务的工作；3、组织参与公司资产的日常清查、管理等工作；4、编制预算、决算等各类报表；5、协调公司内部各部门完成财务管控的相关工作；6、完成上级交办的其他工作。任职要求:1、财务类***本科及以上学历，2年以上财务工作经验，会计相关专业，中级职称优先;2、具备良好的职业操守和团队协作意识、良好的沟通能力；3、对数字敏感度高,具备较强的分析总结能力和文字表达能力；4、熟练使用财务及办公软件。",外资（非欧美）  |  50-150人
总账会计,上海锦瓴贸易有限公司,7千-1万,毕节,本科,5-7年经验,会计主管,建筑/建材/工程,岗位描述：1、按照国家会计法，独立处理公司全盘账务。2、按照财务制度审核各种凭证和合同，进行账务处理。3、做好财务核算，监督业务合理性，编制财务会计报表。4、负责公司税务相关的会计核算，编制纳税相关报表，按时完成税务申报工作，日常涉税事项工作，协助公司领导进行税收筹划、税负分析、纳税减免工作。任职要求：1、财务、会计相关专业，本科以上学历，中级以上职称优先；2、5年以上房地产行业工作经验，有房地产行业财务主管工作经验优先。3、熟悉税法政策、营运分析、成本控制及成本核算，具有丰富的财务管理、资金筹划。4、良好的组织、协调、沟通能力和团队协作精神，能承受较大的工作压力，工作责任心强、正直，有较强的团队合作精神与应变处理能力，良好的语言表达能力，擅于沟通。,民营  |  50-150人
会计,江西橄榄树环境科技有限公司,7-9千,济南-历下区,大专,2年经验,财务管理,计算机软件,岗位职责：1、根据公司的业务，完成账目的处理及纳税申报工作2、负责编写公司财务报表、做好财务分析3、配合第三方审计机构完成年度审计、专项审计工作；4、熟练掌握国家的各项财务制度、最新税收优惠政策，了解工信人社及其他部门补贴政策5、完成各项目申报、补贴申报等工作。任职要求：1.会计、财政等相关专业，大专及以上学历;2.具备1-2年以上财务工作经验，具备会计从业资格证书;3.具备全面的财务专业知识；4.良好的口头及书面表达能力，办公软件运用熟练，且有较强的的责任感；5.有规上企业及高新技术企业或其他项目申报经验者优先。,民营  
会计,北京古韵坊四合院酒店有限公司,4.5-6千,沈阳-沈河区,本科,8-9年经验,会计,快速消费品(食品、饮料、化妆品),1、日常财务成本核算、税务工作的审核；2、研究制定会计政策和操作指导，调整会计准则；3、审核公司财务报表、核对关联往来，合并报表并进行财务分析；4、根据投资者要求，对外提供财务月报、季报和年报；5、组织业务学习、培训和会计岗位技能训练；6、依据费用管理规定，合理控制费用支出；7、定期组织检查会计政策执行情况，严控操作风险，解决存在问题；8、协调对外审计，提供所需财会资料。,民营  |  150-500人
主办会计（五险一金+周末双休+餐饮补贴）,宁波市江北宁信财务咨询有限公司,6.5-8千,沈阳,03-07发布,无需经验,财务,服装/纺织/皮革,,民营  |  150-500人
会计,湖北鸿洲幕墙钢结构有限公司,8千-1万,成都-青羊区,大专,3-4年经验,会计,建筑/建材/工程,岗位职责：1、负责日常会计处理、账务核算；2、负责账薄登记工作，并进行账账、账实核对；3、负责日常开具各种增值税发票、普通发票及其他票据，并保证及时将所开具的发票交到客户手中；4、负责对已使用的发票进展装订成册入档保管，并认真按照税务规定对错填发票进行冲销或重开；5、负责结账、编制会计报表，按时抄报税，负责各项税费的申报、年鉴事宜；6、配合完成税务部门安排的各项检查及其他工作；7、负责公司仓库材料、成品的日常登记、核算、月底结账，定期盘点及往来账的核对；8、完成财务部经理临时布置的各项任务。任职资格：1、大专及以上学历，会计、财务相关专业；2、初级会计师职称；3、3年以上会计工作经验；4、熟悉企业财务管理、预算管理、财经法规和财务会计制度；5、有较强的职业操守，责任心强、作风严谨；6、熟练使用办公软件及各类财务软件。上班时间：09:00-12:00？？？13:30-18:00,民营  |  少于50人
会计,上海顺扬投资咨询有限公司,5-6千,深圳-宝安区,大专,2年经验,万事达节能新材料（江苏）股份有限公司,房地产,因公司规模扩张，广纳贤才，真诚欢迎您的加入！岗位职责：1.与税务相关日常工作，包括开具及认证发票，各期各类税金的测算、申报、缴纳、返还工作。2.免抵退税核算及申报，出口退税款跟进。3.负责编辑及提供税务申报的各种报表等资料，按规定时间向财税、统计办等部门报送各类资料、报表。4.与税务相关的各种备案及相关项目的申报。5.与财税部门广泛接触，建立密切工作关系，参与相关税收政策会议，搜集、掌握最新税收政策信息，及时了解和熟悉税收法规的调整和变化，考虑其对本公司的影响，提出相应方案。6.税务端业务的管理办法、操作流程的制定与更新。7.税务端业务的指导、培训、监督、检查、考核、分析。8.完成领导交办的其他相关工作。任职要求1、财务会计类大专以上学历，初级以上会计专业技术职称（中级尤佳）2、2年以上相关工作经验，且需具备稅務会计专业技能3、有生产性企业成本会计/应收应付经验尤佳4、年龄35岁以下5、工作稳定性强，有责任心6、具有团队合作精神7、较强的适应能力及一定的分析能力,民营  |  1000-5000人
会计（软件行业）,深圳医智联科技有限公司,4.5-5.5千,广州-天河区,大专,5-7年经验,总账会计,电子技术/半导体/集成电路,【岗位职责】1.负责办理律师业务的收费。2.负责现金收支、银行存取的登记核算，保证其余额与银行对帐单和会计相应帐目一致。3.保守财务秘密。4负责复核、报销经主任或分管副主任签批的各种票据。5.负责全所工作人员的工资、酬金及其他福利费的发放工作。6.负责律师收费的核算，并按月与会计相应台帐核对。7.协助行政处处理其他行政事务。【任职要求】1、熟练办公室电脑及软件。2、财务相关专业大专以上学历，有会计从业资格证书；有出纳会计工作经验二年以上的优先考虑。3、了解国家财经政策和会计、税务法规，熟悉银行（网银）结算业务；4、熟练使用财务软件及ERP系统；5、工作认真、做事积极、细致耐心具有良好的沟通能力、团队合作精神；已经结婚生完孩子的优先考虑。6、大专及本科以上学历；1.58米以上优先考虑【福利与待遇】1、工作时间：上班时间9:00-17:30，周末双休；2、节假安排：国家节假日正常休息；3、上班地点：广东省广州市天河区黄埔大道汇金国际金融中心。薪资：待遇从优。,民营  |  少于50人
会计主管（储备）,广西优善医疗科技有限公司,5-7千,常州-新北区,大专,5-7年经验,五险一金,医疗/护理/卫生,,民营  |  少于50人
主办会计（商贸流通板块）,杭州永耀实业集团有限公司,8千-1万,昆明-五华区,大专,2年经验,财务,建筑/建材/工程,岗位职责1、协助财务预算、审核、监督工作，按照公司及政府有关部门要求及时编制各种财务报表并报送相关部门；2、负责员工报销费用的审核、凭证的编制和登帐；3、对已审核的原始凭证及时填制记帐；4、准备、分析、核对税务相关问题；5、审计合同、制作帐目表格。任职资格1、财务、会计专业大专以上学历，持有会计证；2、有财务会计工作经验者优先；3、熟悉会计报表的处理，会计法规和税法，熟练使用财务软件；4、良好的学习能力、独立工作能力和财务分析能力；5、工作细致，责任感强，良好的沟通能力、团队精神、保密性。,民营  |  少于50人
会计,上海融邦医疗器械有限公司,1.2-1.5万·13薪,广州-越秀区,本科,3-4年经验,全盘会计财务,计算机软件,岗位职责：1.凭证录入2.编制报表3.税务申报4.项目核算任职资格：1、大学本科会计专业毕业，有会计上岗证。2、具有两年及以上财务工作经验（填制凭证、编制报表、资产核对）。3、熟练使用office办公软件。4、熟练使用用友财务软件。5、有强烈的事业心和责任感。6、有良好的沟通能力及团队协作能力。7、有协会工作经验优先。,民营  |  50-150人
总账会计,苏州博睿嘉晟医疗科技有限公司,7-8千,昆明-官渡区,大专,3-4年经验,财务,电子技术/半导体/集成电路,职位描述岗位职责：1、负责总账管理、财务分析工作，提供准确的财务月报及经营情况表等报表；2、负责审核各类明细账、总账、财政、统计报表，保证账务处理的正确；3、负责月报、季报、半年报和年度会计决算工作，并及时准确地编制决算报表；4、负责监督发票、账单、收据的使用情况及各类文书、凭证、账册等归档、保管工作；5、协助上级完成编制预算等其他工作。任职资格：1、大专及以上学历，会计、财务管理等相关专业；2、3年以上企业会计工作经验，具备初级会计职称；3、熟悉国家财经政策、法规以及财务准则和制度，熟练操作用友U8财务软件；4、工作细致严谨，具有较强的数据分析能力，保密性强；5、坚持原则、廉洁奉公，具有良好的职业道德和高度的责任感，自觉维护企业利益。,民营  |  1000-5000人
初级会计,华德新中威咨询服务（深圳）有限公司,5-7千,常州-新北区,大专,3-4年经验,会计,医疗/护理/卫生,岗位职责：1.负责公司财务预算编制与财务决算工作；2.定期开展财务分析工作，出具财务分析报表，提供各类对内对外报告所需财务数据；3.定期开展会计核算工作，编制会计凭证、会计帐簿，汇总记帐凭证，建立并登记专项费用台帐；4.审核公司销售出库单据；5.审核公司对外支付凭证，审核公司员工报销单据；6.定期编制公司财务报表；7.负责会计凭证整理和装订工作；8.负责公司税务申报及年度所得税汇算清缴工作；9.配合外部会计事务所，开展财务审计相关工作；完成领导交办的其他工作。任职要求：1、大专及以上学历；2、会计相关专业；3、3年以上财务会计工作经验；4、中级会计职称及以上；5、具有较强的逻辑思维能力、数据分析能力、判断与决策能力、沟通能力、计划与执行能力。,民营  |  少于50人
会计,广东贝佳人内衣服饰有限公司,1.2-1.5万·13薪,衢州,大专,3-4年经验,年终奖金,计算机软件,岗位职责：1、负责财务团队的组建；2、负责各区域非人力资源产业行业评估及风险评估；3、园区突发问题解决处理；4、处理日常财务的资料整理及财务入账整理；5、对接税局及银行事项（发票申领、开具；税务申报、异常衔接；银行对账等）；6、办理其他的有关财务事务做好文书及日常事务工作。岗位要求：1、大专以上学历，***优；2、有3-5年及以上工作经验，可操作全盘账务处理；3、有会计代账行业经验优先，具有良好的沟通能力；4、有1-3年的财务团队管理经验。,民营  |  50-150人
总账会计,米粒优合家居科技（上海）有限公司,6-9千·13薪,定安,大专,2年经验,通讯补贴,汽车零配件,岗位职责1、进行公司收入、支出及成本费等财务核算，对公司的经营活动、往来款项、财产物资如实进行全面的记录、反映、监督；2、接受税务、审计等部门的检查、监督，及时、准确提供所需的各项资料，与各方保持良好的沟通及协调；3、现金及银行收付处理，制作记帐凭证，银行对帐，单据审核，开具与保管发票；4、参与公司年度预算的制定、月度资金使用计划，并与实际执行情况进行对比分析；5、负责与银行、税务等部门的对外联络。任职资格1、财务、会计专业大专以上学历，持有会计上岗证；2、能够独立进行账务处理，熟悉会计法规和税法，熟练使用财务软件；3、具有良好的学习能力、独立工作能力和财务分析能力；4、工作细致，责任感强，良好的沟通能力、团队精神。,民营  |  少于50人
薛航集团-总账会计,广东薛航集团有限公司,5-8千,上海-徐汇区,大专,3-4年经验,会计,石油/化工/矿产/地质,岗位职责：1、负责各类业务的相关凭证的制作；2、审核各类原始单据及系统凭证正确性；3、编制总账及明细账并进行数据确认；4、负责月底及年底的结帐和财务明细报表；5、梳理财务各类会计流程并进行流程改善；6、协助确定各类业务的归属及处理方式判断；7、协助公司纳税申报工作和年度审计工作；8、各类财务相关档案的整理、归档工作；职位要求：1、有3-5年相关工作经验，会计专业大专以上学历，有会计上岗证；2、熟悉日常账务处理及财务软件，熟悉SAP系统者尤佳；3、电脑技能良好并能熟练的操作office办公软件及文档制作；4、工作积极主动，具有良好的学习能力、独立工作能力；5、工作细致踏实，责任感强，良好的沟通能力、团队精神；6、工作内容、办公氛围轻松。,民营  |  50-150人
会计,湖北中大恒润,3.5-6千,鹰潭,本科,2年经验,税务,互联网/电子商务,岗位职责：1.负责对公司成本费用进行整体监控与分析，优化成本管理政策、标准与方法；2.深入分析了解公司成本组成，为业务部门提供财务支持；3.负责对接部门业务流程和财务流程的梳理工作；4.完成公司领导交付的其他任务。职位要求：1.财经类专业本科以上学历；2.3年以上财务工作经验，2年以上财务成本会计（制造业）工作经历者优先考虑；3.熟悉国家各项财务、税务、审计法规和政策；4.具有较强的会计、管理及沟通表达能力；5.具有良好的团队协作能力和较强的创新进取意识；6.具备良好的职业操守和责任心。,民营  |  150-500人
